Day,Train No.,Org stn,Sign on,Dept time,Dest stn,Arr time,Sign off,Travel time,Duty time,NDH,Rest time
M,82355,IGP,11:30,12:0,CSMT,14:50,15:20,2:50,3:50,0:0,'16:20
Tu,11301,CSMT,7:40,8:10,PUNE,11:45,12:15,3:35,4:35,0:0,'13:25
W,11022,PUNE,1:40,2:10,DR,5:30,6:0,3:20,4:20,4:20,'16:15
W,12167,LTT,22:15,22:45,IGP,1:25,1:55,2:40,3:40,3:40,'10:0
Th,15065,IGP,11:55,12:25,PNVL,14:50,15:20,2:25,3:25,0:0,'16:30
F,20910,BSR,7:50,10:5,RN,15:50,16:20,5:45,8:30,0:0,'11:55
Sa,22659,RN,4:15,4:45,BSR,12:45,15:0,8:0,10:45,1:45,'29:30
Su,22107,CSMT,20:30,21:0,PUNE,0:40,1:10,3:40,4:40,3:10,'13:35
Duty 26 -
M,11008,PUNE,14:45,15:15,CSMT,19:5,19:35,3:50,4:50,0:0,'17:25
Tu,12617,KYN,13:0,13:30,IGP,15:24,15:54,1:54,2:54,0:0,'10:51
W,15547,IGP,2:45,3:15,LTT,5:50,6:20,2:35,3:35,3:15,'16:15
W,12219,LTT,22:35,23:5,PUNE,2:5,2:35,3:0,4:0,4:0,'12:20
Th,16340,PUNE,14:55,15:25,CSMT,19:15,19:45,3:50,4:50,0:0,'17:15
F,12617,KYN,13:0,13:30,IGP,15:24,15:54,1:54,2:54,0:0,'11:26
Sa,12106,IGP,3:20,3:50,CSMT,6:50,7:20,3:0,4:0,2:40,'16:15
Su,11003,DR,23:35,0:5,ROHA,2:50,3:20,2:45,3:45,3:45,'17:0
Su,11100,ROHA,20:20,20:50,LTT,23:25,23:55,2:35,3:35,1:55,'20:10
Duty 27 -
M,12101,LTT,20:5,20:35,IGP,23:5,23:35,2:30,3:30,1:35,'9:45
Tu,12321,IGP,9:20,9:50,CSMT,13:15,13:45,3:25,4:25,0:0,'16:55
W,10103,CSMT,6:40,7:10,RN,13:35,14:5,6:25,7:25,0:0,'23:10
Th,22633,RN,13:15,13:45,BSR,19:45,22:0,6:0,8:45,0:0,'22:5
F,16351,CSMT,20:5,20:35,PUNE,0:20,0:50,3:45,4:45,2:50,'9:0
Sa,11014,PUNE,9:50,10:20,LTT,13:45,14:15,3:25,4:25,0:0,'25:40
Su,12173,LTT,15:55,16:25,IGP,18:55,19:25,2:30,3:30,0:0,'08:40
Duty 28 -
M,12138,IGP,4:5,4:35,CSMT,7:35,8:5,3:0,4:0,1:55,'16:10
Tu,11099,LTT,0:15,0:45,ROHA,3:15,3:45,2:30,3:30,3:30,'16:35
Tu,11100,ROHA,20:20,20:50,LTT,23:25,23:55,2:35,3:35,1:55,'16:5
W,WTG,CSMT,16:0,16:0,CSMT,0:0,0:0,8:0,8:0,2:0,'29:30
F,12859,CSMT,5:30,6:0,IGP,8:45,9:15,2:45,3:45,0:30,'16:5
Sa,12810,IGP,1:20,1:50,CSMT,4:25,4:55,2:35,3:35,3:35,'16:5
Sa,17057,CSMT,21:0,21:30,IGP,0:20,0:50,2:50,3:50,2:50,'10:40
Su,12294,IGP,11:30,12:0,LTT,14:40,15:10,2:40,3:40,0:0,'22:00
Duty 29 -
M,22103,LTT,13:10,13:40,IGP,16:10,16:40,2:30,3:30,0:0,'10:5
Tu,12361,IGP,2:45,3:15,CSMT,6:0,6:30,2:45,3:45,3:15,'16:5
Tu,20111,CSMT,22:35,23:5,RN,4:45,5:15,5:40,6:40,6:40,'23:0
Th,12483,RN,4:15,4:45,BSR,12:45,15:0,8:0,10:45,1:45,'30:32
F,12133,CSMT,21:32,22:2,RN,3:30,4:0,5:28,6:28,6:0,'9:10
Sa,12431,RN,13:10,13:40,BSR,19:45,22:0,6:5,8:50,0:0,'49:35
Duty 30 -
M,11003,DR,23:35,0:5,ROHA,2:50,3:20,2:45,3:45,3:45,'23:40
Tu,11004,ROHA,3:0,3:30,DR,6:40,7:10,3:10,4:10,3:0,'16:30
W,22177,CSMT,23:40,0:10,IGP,3:0,3:30,2:50,3:50,3:50,'14:15
W,12166,IGP,17:45,18:15,LTT,20:50,21:20,2:35,3:35,0:0,'16:10
Th,11019,CSMT,13:30,14:0,PUNE,17:50,18:20,3:50,4:50,0:0,'8:20
F,17317,PUNE,2:40,3:10,DR,7:0,7:30,3:50,4:50,3:20,'16:10
Sa,22177,CSMT,23:40,0:10,IGP,3:0,3:30,2:50,3:50,3:50,'14:50
Sa,12533(P),IGP,18:20,18:35,CSMT,22:45,23:0,4:10,4:40,1:0,'17:0
Su,WTG,CSMT,16:0,16:0,CSMT,0:0,0:0,8:0,8:0,2:0,'20:20
Duty 31 -
M,16337,BSR,20:20,22:35,RN,4:10,4:40,5:35,8:20,6:40,'28:10
W,16346(P),RN,8:50,9:5,LTT,16:45,17:0,7:40,8:10,0:0,'19:50
Th,17222,LTT,12:50,13:20,PUNE,16:40,17:10,3:20,4:20,0:0,'9:15
F,12116,PUNE,2:25,2:55,CSMT,6:35,7:5,3:40,4:40,3:35,'22:25
Sa,22183,LTT,5:30,6:0,IGP,8:25,8:55,2:25,3:25,0:30,'12:20
Sa,22537,IGP,21:15,21:45,LTT,0:10,0:40,2:25,3:25,2:40,'16:5
Su,12261,CSMT,16:45,17:15,IGP,19:35,20:5,2:20,3:20,0:0,'10:50
Duty 32 -
M,17611,IGP,6:55,7:25,CSMT,10:7,10:37,2:42,3:42,0:0,'18:16
Tu,20103,LTT,4:53,5:23,IGP,8:0,8:30,2:37,3:37,1:7,'12:45
Tu,22537,IGP,21:15,21:45,LTT,0:10,0:40,2:25,3:25,2:40,'16:5
W,12261,CSMT,16:45,17:15,IGP,19:35,20:5,2:20,3:20,0:0,'8:10
Th,12146,IGP,4:15,4:45,LTT,7:25,7:55,2:40,3:40,1:45,'16:5
F,WTG,CSMT,0:0,0:0,CSMT,8:0,8:0,8:0,8:0,6:0,'22:40
Sa,10103,CSMT,6:40,7:10,RN,13:35,14:5,6:25,7:25,0:0,'18:45
Su,16346(P),RN,8:50,9:5,LTT,16:45,17:0,7:40,8:10,0:0,'23:00
Duty 33 -
M,WTG,CSMT,16:0,16:0,CSMT,0:0,0:0,8:0,8:0,2:0,'20:5
Tu,16339,CSMT,20:5,20:35,PUNE,0:20,0:50,3:45,4:45,2:50,'9:0
W,11014,PUNE,9:50,10:20,LTT,13:45,14:15,3:25,4:25,0:0,'25:45
Th,WTG,LTT,16:0,16:0,LTT,0:0,0:0,8:0,8:0,2:0,'22:35
F,20111,CSMT,22:35,23:5,RN,4:45,5:15,5:40,6:40,6:40,'8:35
Sa,10104,RN,13:50,14:20,CSMT,21:45,22:15,7:25,8:25,0:15,'49:25
Duty 34 -
M,22177,CSMT,23:40,0:10,IGP,3:0,3:30,2:50,3:50,3:50,'14:35
M,12533,IGP,18:5,18:35,CSMT,22:45,23:15,4:10,5:10,1:15,'24:30
W,12879,LTT,23:45,0:15,IGP,2:50,3:20,2:35,3:35,3:35,'10:55
W,15018,IGP,14:15,14:45,LTT,17:15,17:45,2:30,3:30,0:0,'17:25
Th,16345,LTT,11:10,11:40,ROHA,14:10,14:40,2:30,3:30,0:0,'22:42
F,16346,ROHA,13:22,13:52,LTT,16:45,17:15,2:53,3:53,0:0,'17:55
Sa,16345,LTT,11:10,11:40,ROHA,14:10,14:40,2:30,3:30,0:0,'21:10
Su,22476,ROHA,11:50,12:20,BSR,15:10,17:25,2:50,5:35,0:0,'22:45
Duty 35 -
M,15268,LTT,16:10,16:40,IGP,20:0,20:30,3:20,4:20,0:0,'8:40
Tu,12262,IGP,5:10,5:40,CSMT,8:15,8:45,2:35,3:35,0:50,'21:45
W,11007,CSMT,6:30,7:0,PUNE,11:5,11:35,4:5,5:5,0:0,'11:45
W,11020,PUNE,23:20,23:50,CSMT,4:0,4:30,4:10,5:10,5:10,'17:2
Th,12133,CSMT,21:32,22:2,RN,3:30,4:0,5:28,6:28,6:0,'9:50
F,10104,RN,13:50,14:20,CSMT,21:45,22:15,7:25,8:25,0:15,'40:35
Su,12619,LTT,14:50,15:20,RN,21:0,21:30,5:40,6:40,0:0,'16:20
Duty 36 -
M,10104,RN,13:50,14:20,CSMT,21:45,22:15,7:25,8:25,0:15,'22:5
Tu,19260,BSR,20:20,22:35,ROHA,1:30,2:0,2:55,5:40,4:0,'11:22
W,16346,ROHA,13:22,13:52,LTT,16:45,17:15,2:53,3:53,0:0,'25:0
Th,17612,CSMT,18:15,18:45,IGP,21:25,21:55,2:40,3:40,0:0,'11:25
F,12321,IGP,9:20,9:50,CSMT,13:15,13:45,3:25,4:25,0:0,'18:10
Sa,12534,CSMT,7:55,8:25,IGP,11:0,11:30,2:35,3:35,0:0,'14:15
Su,20104,IGP,1:45,2:15,LTT,4:35,5:5,2:20,3:20,3:20,'16:15
Su,12701,CSMT,21:20,21:50,PUNE,1:30,2:0,3:40,4:40,4:0,'13:20
Duty 37 -
