Day,Train No.,Org stn,Sign on,Dept time,Dest stn,Arr time,Sign off,Travel time,Duty time,NDH,Rest time
Tu,11029,CSMT,8:10,8:40,PUNE,12:45,13:15,4:5,5:5,0:0,'12:43
W,11028,PUNE,1:58,2:28,DR,6:35,7:5,4:7,5:7,4:2,'23:20
Th,18520,LTT,6:25,6:55,PUNE,10:20,10:50,3:25,4:25,0:0,'13:30
F,18519,PUNE,0:20,0:50,LTT,4:15,4:45,3:25,4:25,4:25,'16:15
F,11005,DR,21:0,21:30,PUNE,1:0,1:30,3:30,4:30,3:30,'13:15
Sa,11008,PUNE,14:45,15:15,CSMT,19:5,19:35,3:50,4:50,0:0,'19:45
Su,15066,PNVL,15:20,15:50,IGP,18:30,19:0,2:40,3:40,0:0,'08:20
Duty 74 -
M,12106,IGP,3:20,3:50,CSMT,6:50,7:20,3:0,4:0,2:40,'16:20
Tu,22177,CSMT,23:40,0:10,IGP,3:0,3:30,2:50,3:50,3:50,'14:50
Tu,12533(P),IGP,18:20,18:35,CSMT,22:45,23:0,4:10,4:40,1:0,'17:55
W,12123(P),CSMT,16:55,17:10,PUNE,20:25,20:40,3:15,3:45,0:0,'9:10
Th,17614,PUNE,5:50,6:20,PNVL,9:0,9:30,2:40,3:40,0:10,'19:30
F,17617,CSMT,5:0,5:30,IGP,8:13,8:43,2:43,3:43,1:0,'16:12
Sa,12102,IGP,0:55,1:25,LTT,3:55,4:25,2:30,3:30,3:30,'16:5
Sa,22143,CSMT,20:30,21:0,PUNE,0:40,1:10,3:40,4:40,3:10,'8:40
Su,11014,PUNE,9:50,10:20,LTT,13:45,14:15,3:25,4:25,0:0,'22:00
Duty 75 -
M,22159,CSMT,12:15,12:45,PUNE,16:23,16:53,3:38,4:38,0:0,'9:32
Tu,12116,PUNE,2:25,2:55,CSMT,6:35,7:5,3:40,4:40,3:35,'24:55
W,WTG,LTT,8:0,8:0,LTT,16:0,16:0,8:0,8:0,0:0,'24:0
Th,WTG,CSMT,16:0,16:0,CSMT,0:0,0:0,8:0,8:0,2:0,'29:0
Sa,17617,CSMT,5:0,5:30,IGP,8:13,8:43,2:43,3:43,1:0,'11:32
Sa,11082,IGP,20:15,20:45,LTT,23:45,0:15,3:0,4:0,2:15,'16:25
Su,12123,CSMT,16:40,17:10,PUNE,20:25,20:55,3:15,4:15,0:0,'10:55
Duty 76 -
M,22160,PUNE,7:50,8:20,CSMT,12:30,13:0,4:10,5:10,0:0,'26:30
Tu,17613,PNVL,15:30,16:0,PUNE,19:25,19:55,3:25,4:25,0:0,'9:55
W,17614,PUNE,5:50,6:20,PNVL,9:0,9:30,2:40,3:40,0:10,'18:20
Th,12218,BSR,3:50,6:5,ROHA,8:57,9:27,2:52,5:37,2:10,'17:33
F,11004,ROHA,3:0,3:30,DR,6:40,7:10,3:10,4:10,3:0,'16:25
Sa,11003,DR,23:35,0:5,ROHA,2:50,3:20,2:45,3:45,3:45,'17:0
Sa,11100,ROHA,20:20,20:50,LTT,23:25,23:55,2:35,3:35,1:55,'16:5
Su,WTG,LTT,16:0,16:0,LTT,0:0,0:0,8:0,8:0,2:0,'20:30
Duty 77 -
M,22107,CSMT,20:30,21:0,PUNE,0:40,1:10,3:40,4:40,3:10,'13:45
Tu,16340,PUNE,14:55,15:25,CSMT,19:15,19:45,3:50,4:50,0:0,'16:12
W,16311,BSR,11:57,14:12,RN,20:25,20:55,6:13,8:58,0:0,'18:30
Th,16338,RN,15:25,15:55,BSR,23:10,1:25,7:15,10:0,3:25,'39:30
Sa,12123(P),CSMT,16:55,17:10,PUNE,20:25,20:40,3:15,3:45,0:0,'10:5
Su,12124,PUNE,6:45,7:15,CSMT,10:25,10:55,3:10,4:10,0:0,'19:15
Duty 78 -
M,12127,CSMT,6:10,6:40,PUNE,9:57,10:27,3:17,4:17,0:0,'13:53
Tu,18519,PUNE,0:20,0:50,LTT,4:15,4:45,3:25,4:25,4:25,'16:15
Tu,11021,DR,21:0,21:30,PUNE,1:0,1:30,3:30,4:30,3:30,'9:50
W,12164,PUNE,11:20,11:50,LTT,15:40,16:10,3:50,4:50,0:0,'26:55
Th,12137,CSMT,19:5,19:35,IGP,22:20,22:50,2:45,3:45,0:50,'11:10
F,12880,IGP,10:0,10:30,LTT,13:0,13:30,2:30,3:30,0:0,'16:35
Sa,12618,PNVL,6:5,6:35,RN,11:25,11:55,4:50,5:50,0:0,'11:30
Sa,12620,RN,23:25,23:55,LTT,6:35,7:5,6:40,7:40,6:35,'21:35
Duty 79 -
M,12051,CSMT,4:40,5:10,RN,10:30,11:0,5:20,6:20,1:20,'20:50
Tu,19577,RN,7:50,8:20,BSR,15:10,17:25,6:50,9:35,0:0,'38:25
Th,22908,BSR,7:50,10:5,RN,15:50,16:20,5:45,8:30,0:0,'16:30
F,16346(P),RN,8:50,9:5,LTT,16:45,17:0,7:40,8:10,0:0,'29:35
Sa,20111,CSMT,22:35,23:5,RN,4:45,5:15,5:40,6:40,6:40,'18:10
Su,12620,RN,23:25,23:55,LTT,6:35,7:5,6:40,7:40,6:35,'40:30
Duty 80 -
Tu,11003,DR,23:35,0:5,ROHA,2:50,3:20,2:45,3:45,3:45,'14:50
Tu,12449,ROHA,18:10,18:40,BSR,21:15,23:30,2:35,5:20,1:30,'16:25
W,12107,LTT,15:55,16:25,IGP,18:55,19:25,2:30,3:30,0:0,'7:55
Th,12106,IGP,3:20,3:50,CSMT,6:50,7:20,3:0,4:0,2:40,'16:5
Th,11041,DR,23:25,23:55,PUNE,3:35,4:5,3:40,4:40,4:40,'14:0
F,22106,PUNE,18:5,18:35,CSMT,22:0,22:30,3:25,4:25,0:30,'16:20
Sa,12619,LTT,14:50,15:20,RN,21:0,21:30,5:40,6:40,0:0,'16:20
Su,10104,RN,13:50,14:20,CSMT,21:45,22:15,7:25,8:25,0:15,'20:20
Duty 81 -
M,12105,CSMT,18:35,19:5,IGP,21:45,22:15,2:40,3:40,0:15,'9:55
Tu,22178,IGP,8:10,8:40,CSMT,11:40,12:10,3:0,4:0,0:0,'17:20
W,22183,LTT,5:30,6:0,IGP,8:25,8:55,2:25,3:25,0:30,'9:45
W,12108,IGP,18:40,19:10,LTT,21:50,22:20,2:40,3:40,0:20,'16:30
Th,12619,LTT,14:50,15:20,RN,21:0,21:30,5:40,6:40,0:0,'15:40
F,12431,RN,13:10,13:40,BSR,19:45,22:0,6:5,8:50,0:0,'22:20
Sa,12223,LTT,20:20,20:50,RN,1:50,2:20,5:0,6:0,4:20,'18:15
Su,22653,RN,20:35,21:5,BSR,4:50,7:5,7:45,10:30,8:0,'16:20
Duty 82 -
M,11027,DR,23:25,23:55,PUNE,3:35,4:5,3:40,4:40,4:40,'14:0
Tu,22106,PUNE,18:5,18:35,CSMT,22:0,22:30,3:25,4:25,0:30,'16:20
W,12619,LTT,14:50,15:20,RN,21:0,21:30,5:40,6:40,0:0,'16:20
Th,10104,RN,13:50,14:20,CSMT,21:45,22:15,7:25,8:25,0:15,'21:50
F,12101,LTT,20:5,20:35,IGP,23:5,23:35,2:30,3:30,1:35,'11:0
Sa,22148,IGP,10:35,11:5,DR,13:25,13:55,2:20,3:20,0:0,'17:45
Su,11301,CSMT,7:40,8:10,PUNE,11:45,12:15,3:35,4:35,0:0,'12:40
Duty 83 -
M,11140,PUNE,0:55,1:25,CSMT,5:10,5:40,3:45,4:45,4:45,'26:20
Tu,WTG,CSMT,8:0,8:0,CSMT,16:0,16:0,8:0,8:0,0:0,'26:35
W,12105,CSMT,18:35,19:5,IGP,21:45,22:15,2:40,3:40,0:15,'9:20
Th,12110,IGP,7:35,8:5,CSMT,10:45,11:15,2:40,3:40,0:0,'18:50
F,12618,PNVL,6:5,6:35,RN,11:25,11:55,4:50,5:50,0:0,'10:15
F,12134,RN,22:10,22:40,CSMT,4:35,5:5,5:55,6:55,6:55,'27:5
Su,11029,CSMT,8:10,8:40,PUNE,12:45,13:15,4:5,5:5,0:0,'12:25
Duty 84 -
M,11036,PUNE,1:40,2:10,DR,5:30,6:0,3:20,4:20,4:20,'18:0
Tu,WTG,CSMT,0:0,0:0,CSMT,8:0,8:0,8:0,8:0,6:0,'32:40
W,12123,CSMT,16:40,17:10,PUNE,20:25,20:55,3:15,4:15,0:0,'9:50
Th,12124,PUNE,6:45,7:15,CSMT,10:25,10:55,3:10,4:10,0:0,'21:5
F,WTG,CSMT,8:0,8:0,CSMT,16:0,16:0,8:0,8:0,0:0,'27:25
Sa,12111,CSMT,19:25,19:55,IGP,22:55,23:25,3:0,4:0,1:25,'9:55
Su,12321,IGP,9:20,9:50,CSMT,13:15,13:45,3:25,4:25,0:0,'21:15
Duty 85 -
M,11061,LTT,11:0,11:30,IGP,14:10,14:40,2:40,3:40,0:0,'11:5
Tu,20104,IGP,1:45,2:15,LTT,4:35,5:5,2:20,3:20,3:20,'16:27
Tu,12133,CSMT,21:32,22:2,RN,3:30,4:0,5:28,6:28,6:0,'20:5
Th,12741,RN,0:5,0:35,KYN,7:27,7:57,6:52,7:52,5:55,'31:58
F,12161,LTT,15:55,16:25,IGP,18:55,19:25,2:30,3:30,0:0,'9:25
Sa,12290,IGP,4:50,5:20,CSMT,8:5,8:35,2:45,3:45,1:10,'20:18
Su,20103,LTT,4:53,5:23,IGP,8:0,8:30,2:37,3:37,1:7,'9:15
Su,12166,IGP,17:45,18:15,LTT,20:50,21:20,2:35,3:35,0:0,'20:00
Duty 86 -
M,11009,CSMT,17:20,17:50,PUNE,22:20,22:50,4:30,5:30,0:50,'11:0
Tu,11014,PUNE,9:50,10:20,LTT,13:45,14:15,3:25,4:25,0:0,'23:15
W,11071,LTT,13:30,14:0,IGP,16:25,16:55,2:25,3:25,0:0,'10:10
Th,12112,IGP,3:5,3:35,CSMT,6:15,6:45,2:40,3:40,2:55,'16:15
Th,11057,CSMT,23:0,23:30,IGP,2:15,2:45,2:45,3:45,3:45,'15:55
F,12108,IGP,18:40,19:10,LTT,21:50,22:20,2:40,3:40,0:20,'16:5
Sa,12139,CSMT,14:25,14:55,IGP,17:40,18:10,2:45,3:45,0:0,'9:10
Su,12106,IGP,3:20,3:50,CSMT,6:50,7:20,3:0,4:0,2:40,'21:33
Duty 87 -
M,20103,LTT,4:53,5:23,IGP,8:0,8:30,2:37,3:37,1:7,'9:50
M,12533(P),IGP,18:20,18:35,CSMT,22:45,23:0,4:10,4:40,1:0,'21:20
Tu,12223,LTT,20:20,20:50,RN,1:50,2:20,5:0,6:0,4:20,'21:5
W,12620,RN,23:25,23:55,LTT,6:35,7:5,6:40,7:40,6:35,'33:50
F,12123(P),CSMT,16:55,17:10,PUNE,20:25,20:40,3:15,3:45,0:0,'10:40
Sa,12126,PUNE,7:20,7:50,CSMT,11:25,11:55,3:35,4:35,0:0,'18:30
Su,18520,LTT,6:25,6:55,PUNE,10:20,10:50,3:25,4:25,0:0,'13:30
Duty 88 -
M,18519,PUNE,0:20,0:50,LTT,4:15,4:45,3:25,4:25,4:25,'19:20
Tu,22538,LTT,0:5,0:35,IGP,3:15,3:45,2:40,3:40,3:40,'16:0
Tu,11072,IGP,19:45,20:15,LTT,22:55,23:25,2:40,3:40,1:25,'16:45
W,11081,LTT,16:10,16:40,IGP,20:0,20:30,3:20,4:20,0:0,'8:20
Th,12290,IGP,4:50,5:20,CSMT,8:5,8:35,2:45,3:45,1:10,'20:5
F,12051,CSMT,4:40,5:10,RN,10:30,11:0,5:20,6:20,1:20,'9:30
F,22114,RN,20:30,21:0,LTT,3:45,4:15,6:45,7:45,6:15,'36:40
Su,12123(P),CSMT,16:55,17:10,PUNE,20:25,20:40,3:15,3:45,0:0,'10:40
Duty 89 -
M,12126,PUNE,7:20,7:50,CSMT,11:25,11:55,3:35,4:35,0:0,'18:35
Tu,11007,CSMT,6:30,7:0,PUNE,11:5,11:35,4:5,5:5,0:0,'13:20
W,11140,PUNE,0:55,1:25,CSMT,5:10,5:40,3:45,4:45,4:45,'23:20
Th,17617,CSMT,5:0,5:30,IGP,8:13,8:43,2:43,3:43,1:0,'11:2
Th,11072,IGP,19:45,20:15,LTT,22:55,23:25,2:40,3:40,1:25,'17:15
F,12123,CSMT,16:40,17:10,PUNE,20:25,20:55,3:15,4:15,0:0,'10:30
Sa,12220,PUNE,7:25,7:55,LTT,11:0,11:30,3:5,4:5,0:0,'18:40
Su,12127,CSMT,6:10,6:40,PUNE,9:57,10:27,3:17,4:17,0:0,'12:53
Su,11020,PUNE,23:20,23:50,CSMT,4:0,4:30,4:10,5:10,5:10,'16:30
Duty 90 -
M,11005,DR,21:0,21:30,PUNE,1:0,1:30,3:30,4:30,3:30,'13:50
Tu,11030,PUNE,15:20,15:50,CSMT,20:5,20:35,4:15,5:15,0:0,'16:25
W,12617,KYN,13:0,13:30,IGP,15:24,15:54,1:54,2:54,0:0,'10:21
Th,11402,IGP,2:15,2:45,CSMT,5:35,6:5,2:50,3:50,3:45,'16:10
Th,12115,CSMT,22:15,22:45,PUNE,2:20,2:50,3:35,4:35,4:35,'14:35
F,12128,PUNE,17:25,17:55,CSMT,21:5,21:35,3:10,4:10,0:0,'16:5
Sa,22732,CSMT,13:40,14:10,PUNE,18:5,18:35,3:55,4:55,0:0,'8:5
Su,17317,PUNE,2:40,3:10,DR,7:0,7:30,3:50,4:50,3:20,'21:30
Duty 91 -
M,17617,CSMT,5:0,5:30,IGP,8:13,8:43,2:43,3:43,1:0,'9:57
M,12108,IGP,18:40,19:10,LTT,21:50,22:20,2:40,3:40,0:20,'19:55
Tu,17612,CSMT,18:15,18:45,IGP,21:25,21:55,2:40,3:40,0:0,'9:40
W,12110,IGP,7:35,8:5,CSMT,10:45,11:15,2:40,3:40,0:0,'18:50
Th,12618,PNVL,6:5,6:35,RN,11:25,11:55,4:50,5:50,0:0,'19:25
F,12617,RN,7:20,7:50,KYN,13:27,13:57,5:37,6:37,0:0,'23:33
Sa,11071,LTT,13:30,14:0,IGP,16:25,16:55,2:25,3:25,0:0,'10:10
Su,12618,IGP,3:5,3:35,PNVL,6:30,7:0,2:55,3:55,2:55,'16:5
Su,12141,LTT,23:5,23:35,IGP,2:5,2:35,2:30,3:30,3:30,'10:15
Duty 92 -
M,12072,IGP,12:50,13:20,CSMT,16:20,16:50,3:0,4:0,0:0,'18:20
Tu,16345,LTT,11:10,11:40,ROHA,14:10,14:40,2:30,3:30,0:0,'12:20
W,11004,ROHA,3:0,3:30,DR,6:40,7:10,3:10,4:10,3:0,'16:15
W,11041,DR,23:25,23:55,PUNE,3:35,4:5,3:40,4:40,4:40,'11:30
Th,11302,PUNE,15:35,16:5,CSMT,20:15,20:45,4:10,5:10,0:0,'19:20
F,11401,CSMT,16:5,16:35,IGP,19:15,19:45,2:40,3:40,0:0,'9:25
Sa,12262,IGP,5:10,5:40,CSMT,8:15,8:45,2:35,3:35,0:50,'20:15
Su,17617,CSMT,5:0,5:30,IGP,8:13,8:43,2:43,3:43,1:0,'9:22
Su,12533,IGP,18:5,18:35,CSMT,22:45,23:15,4:10,5:10,1:15,'20:40
Duty 93 -
M,17318,DR,19:55,20:25,PUNE,0:2,0:32,3:37,4:37,2:32,'10:48
Tu,12164,PUNE,11:20,11:50,LTT,15:40,16:10,3:50,4:50,0:0,'18:25
W,12362,CSMT,10:35,11:5,IGP,13:55,14:25,2:50,3:50,0:0,'10:55
Th,12810,IGP,1:20,1:50,CSMT,4:25,4:55,2:35,3:35,3:35,'16:5
Th,17057,CSMT,21:0,21:30,IGP,0:20,0:50,2:50,3:50,2:50,'12:0
F,12072,IGP,12:50,13:20,CSMT,16:20,16:50,3:0,4:0,0:0,'19:25
Sa,22159,CSMT,12:15,12:45,PUNE,16:23,16:53,3:38,4:38,0:0,'8:47
Su,11022,PUNE,1:40,2:10,DR,5:30,6:0,3:20,4:20,4:20,'16:15
Su,12167,LTT,22:15,22:45,IGP,1:25,1:55,2:40,3:40,3:40,'10:35
After working duty number 93 the crew will pick up duty number 55
Duty 94 -
M,12702,PUNE,0:45,1:15,CSMT,4:55,5:25,3:40,4:40,4:40,'25:15
Tu,10103,CSMT,6:40,7:10,RN,13:35,14:5,6:25,7:25,0:0,'26:40
W,12283,RN,16:45,17:15,BSR,0:10,2:25,6:55,9:40,4:25,'37:45
F,18610,LTT,16:10,16:40,IGP,20:0,20:30,3:20,4:20,0:0,'11:5
Sa,12110,IGP,7:35,8:5,CSMT,10:45,11:15,2:40,3:40,0:0,'18:15
Su,12859,CSMT,5:30,6:0,IGP,8:45,9:15,2:45,3:45,0:30,'10:30
Su,11072,IGP,19:45,20:15,LTT,22:55,23:25,2:40,3:40,1:25,'20:40
Duty 95 -
M,16351,CSMT,20:5,20:35,PUNE,0:20,0:50,3:45,4:45,2:50,'13:55
Tu,11008,PUNE,14:45,15:15,CSMT,19:5,19:35,3:50,4:50,0:0,'17:10
W,22101,LTT,12:45,13:15,PUNE,16:40,17:10,3:25,4:25,0:0,'8:30
Th,11006,PUNE,1:40,2:10,DR,5:30,6:0,3:20,4:20,4:20,'16:5
Th,11013,LTT,22:5,22:35,PUNE,1:55,2:25,3:20,4:20,4:20,'13:10
F,11302,PUNE,15:35,16:5,CSMT,20:15,20:45,4:10,5:10,0:0,'19:40
Sa,22113,LTT,16:25,16:55,RN,22:27,22:57,5:32,6:32,0:57,'16:28
Su,16312,RN,15:25,15:55,BSR,23:10,1:25,7:15,10:0,3:25,'19:35
Duty 96 -
M,17057,CSMT,21:0,21:30,IGP,0:20,0:50,2:50,3:50,2:50,'10:20
Tu,12142,IGP,11:10,11:40,LTT,14:10,14:40,2:30,3:30,0:0,'16:45
W,15548,LTT,7:25,7:55,IGP,10:15,10:45,2:20,3:20,0:0,'10:45
W,11062,IGP,21:30,22:0,LTT,0:25,0:55,2:25,3:25,2:55,'16:25
Th,11009,CSMT,17:20,17:50,PUNE,22:20,22:50,4:30,5:30,0:50,'9:40
F,22731,PUNE,8:30,9:0,CSMT,13:5,13:35,4:5,5:5,0:0,'16:30
Sa,15017,LTT,6:5,6:35,IGP,9:10,9:40,2:35,3:35,0:0,'15:30
Su,18030,IGP,1:10,1:40,LTT,4:5,4:35,2:25,3:25,3:25,'16:5
Su,12809,CSMT,20:40,21:10,IGP,23:50,0:20,2:40,3:40,2:20,'10:50
Duty 97 -
M,12142,IGP,11:10,11:40,LTT,14:10,14:40,2:30,3:30,0:0,'16:55
Tu,12336,LTT,7:35,8:5,IGP,10:35,11:5,2:30,3:30,0:0,'14:25
W,12132,IGP,1:30,2:0,DR,4:30,5:0,2:30,3:30,3:30,'16:15
W,12131,DR,21:15,21:45,IGP,0:10,0:40,2:25,3:25,2:40,'9:5
Th,12168,IGP,9:45,10:15,LTT,12:30,13:0,2:15,3:15,0:0,'16:10
F,22105,CSMT,5:10,5:40,PUNE,9:5,9:35,3:25,4:25,0:50,'13:45
F,11020,PUNE,23:20,23:50,CSMT,4:0,4:30,4:10,5:10,5:10,'16:10
Sa,12809,CSMT,20:40,21:10,IGP,23:50,0:20,2:40,3:40,2:20,'9:40
Su,12812,IGP,10:0,10:30,LTT,13:0,13:30,2:30,3:30,0:0,'18:30
Duty 98 -
M,WTG,CSMT,8:0,8:0,CSMT,16:0,16:0,8:0,8:0,0:0,'27:33
Tu,12432,BSR,19:33,21:48,RN,3:5,3:35,5:17,8:2,5:35,'27:45
Th,12617,RN,7:20,7:50,KYN,13:27,13:57,5:37,6:37,0:0,'28:18
F,17612,CSMT,18:15,18:45,IGP,21:25,21:55,2:40,3:40,0:0,'10:35
Sa,12140,IGP,8:30,9:0,CSMT,12:0,12:30,3:0,4:0,0:0,'18:0
Su,11007,CSMT,6:30,7:0,PUNE,11:5,11:35,4:5,5:5,0:0,'13:10
After working duty number 98 the crew will pick up duty number 94
Duty 99 -
M,12132,IGP,1:30,2:0,DR,4:30,5:0,2:30,3:30,3:30,'16:45
M,12322,CSMT,21:45,22:15,IGP,0:55,1:25,2:40,3:40,3:25,'10:50
Tu,11060,IGP,12:15,12:45,LTT,15:20,15:50,2:35,3:35,0:0,'22:35
W,12139,CSMT,14:25,14:55,IGP,17:40,18:10,2:45,3:45,0:0,'8:55
Th,12618,IGP,3:5,3:35,PNVL,6:30,7:0,2:55,3:55,2:55,'16:5
Th,12141,LTT,23:5,23:35,IGP,2:5,2:35,2:30,3:30,3:30,'15:45
F,12533(P),IGP,18:20,18:35,CSMT,22:45,23:0,4:10,4:40,1:0,'16:30
Sa,17613,PNVL,15:30,16:0,PUNE,19:25,19:55,3:25,4:25,0:0,'7:10
Su,17412,PUNE,3:5,3:35,CSMT,7:25,7:55,3:50,4:50,2:55,'21:15
Duty 100 -
M,22105,CSMT,5:10,5:40,PUNE,9:5,9:35,3:25,4:25,0:50,'13:45
M,11020,PUNE,23:20,23:50,CSMT,4:0,4:30,4:10,5:10,5:10,'30:40
W,16345,LTT,11:10,11:40,ROHA,14:10,14:40,2:30,3:30,0:0,'21:5
Th,22630,ROHA,11:45,12:15,DR,15:0,15:30,2:45,3:45,0:0,'16:5
F,15647,LTT,7:35,8:5,IGP,10:35,11:5,2:30,3:30,0:0,'15:10
Sa,11402,IGP,2:15,2:45,CSMT,5:35,6:5,2:50,3:50,3:45,'16:10
Sa,12115,CSMT,22:15,22:45,PUNE,2:20,2:50,3:35,4:35,4:35,'12:45
Su,11302,PUNE,15:35,16:5,CSMT,20:15,20:45,4:10,5:10,0:0,'20:10
Duty 101 -
M,12123(P),CSMT,16:55,17:10,PUNE,20:25,20:40,3:15,3:45,0:0,'10:40
Tu,12126,PUNE,7:20,7:50,CSMT,11:25,11:55,3:35,4:35,0:0,'19:40
W,15645,LTT,7:35,8:5,IGP,10:35,11:5,2:30,3:30,0:0,'13:50
Th,22104,IGP,0:55,1:25,LTT,3:45,4:15,2:20,3:20,3:20,'16:5
Th,16333,BSR,20:20,22:35,RN,4:10,4:40,5:35,8:20,6:40,'13:5
F,12052,RN,17:45,18:15,CSMT,23:30,0:0,5:15,6:15,2:0,'20:5
Sa,12101,LTT,20:5,20:35,IGP,23:5,23:35,2:30,3:30,1:35,'10:10
Su,12168,IGP,9:45,10:15,LTT,12:30,13:0,2:15,3:15,0:0,'19:00
Duty 102 -
M,WTG,LTT,8:0,8:0,LTT,16:0,16:0,8:0,8:0,0:0,'27:25
Tu,12111,CSMT,19:25,19:55,IGP,22:55,23:25,3:0,4:0,1:25,'9:35
W,12597,IGP,9:0,9:30,CSMT,12:20,12:50,2:50,3:50,0:0,'18:45
Th,12336,LTT,7:35,8:5,IGP,10:35,11:5,2:30,3:30,0:0,'14:25
F,12132,IGP,1:30,2:0,DR,4:30,5:0,2:30,3:30,3:30,'16:20
F,12701,CSMT,21:20,21:50,PUNE,1:30,2:0,3:40,4:40,4:0,'12:55
Sa,16340,PUNE,14:55,15:25,CSMT,19:15,19:45,3:50,4:50,0:0,'17:15
Su,12617,KYN,13:0,13:30,IGP,15:24,15:54,1:54,2:54,0:0,'10:21
Duty 103 -
M,11402,IGP,2:15,2:45,CSMT,5:35,6:5,2:50,3:50,3:45,'16:10
M,12167,LTT,22:15,22:45,IGP,1:25,1:55,2:40,3:40,3:40,'10:55
Tu,12072,IGP,12:50,13:20,CSMT,16:20,16:50,3:0,4:0,0:0,'23:15
W,11401,CSMT,16:5,16:35,IGP,19:15,19:45,2:40,3:40,0:0,'8:20
Th,12138,IGP,4:5,4:35,CSMT,7:35,8:5,3:0,4:0,1:55,'16:10
F,11099,LTT,0:15,0:45,ROHA,3:15,3:45,2:30,3:30,3:30,'32:5
Sa,20931,ROHA,11:50,12:20,BSR,15:10,17:25,2:50,5:35,0:0,'17:35
Su,11061,LTT,11:0,11:30,IGP,14:10,14:40,2:40,3:40,0:0,'11:05
Duty 104 -
M,20104,IGP,1:45,2:15,LTT,4:35,5:5,2:20,3:20,3:20,'16:15
M,12701,CSMT,21:20,21:50,PUNE,1:30,2:0,3:40,4:40,4:0,'13:35
Tu,11302,PUNE,15:35,16:5,CSMT,20:15,20:45,4:10,5:10,0:0,'22:40
W,12111,CSMT,19:25,19:55,IGP,22:55,23:25,3:0,4:0,1:25,'9:5
Th,12140,IGP,8:30,9:0,CSMT,12:0,12:30,3:0,4:0,0:0,'27:0
F,17613,PNVL,15:30,16:0,PUNE,19:25,19:55,3:25,4:25,0:0,'9:55
Sa,17614,PUNE,5:50,6:20,PNVL,9:0,9:30,2:40,3:40,0:10,'19:40
Su,22105,CSMT,5:10,5:40,PUNE,9:5,9:35,3:25,4:25,0:50,'8:40
Su,22150,PUNE,18:15,18:45,RN,1:45,2:15,7:0,8:0,4:15,'15:55
Duty 105 -
M,22120,RN,18:10,18:40,CSMT,23:55,0:25,5:15,6:15,2:25,'16:15
Tu,12123,CSMT,16:40,17:10,PUNE,20:25,20:55,3:15,4:15,0:0,'10:30
W,12220,PUNE,7:25,7:55,LTT,11:0,11:30,3:5,4:5,0:0,'18:0
Th,12859,CSMT,5:30,6:0,IGP,8:45,9:15,2:45,3:45,0:30,'12:15
Th,11062,IGP,21:30,22:0,LTT,0:25,0:55,2:25,3:25,2:55,'16:25
F,11009,CSMT,17:20,17:50,PUNE,22:20,22:50,4:30,5:30,0:50,'9:0
Sa,22160,PUNE,7:50,8:20,CSMT,12:30,13:0,4:10,5:10,0:0,'19:0
Su,WTG,CSMT,8:0,8:0,CSMT,16:0,16:0,8:0,8:0,0:0,'21:40
Duty 106 -
M,22732,CSMT,13:40,14:10,PUNE,18:5,18:35,3:55,4:55,0:0,'11:15
Tu,17614,PUNE,5:50,6:20,PNVL,9:0,9:30,2:40,3:40,0:10,'22:10
W,11301,CSMT,7:40,8:10,PUNE,11:45,12:15,3:35,4:35,0:0,'12:5
Th,18519,PUNE,0:20,0:50,LTT,4:15,4:45,3:25,4:25,4:25,'16:15
Th,11035,DR,21:0,21:30,PUNE,1:0,1:30,3:30,4:30,3:30,'13:25
F,16352,PUNE,14:55,15:25,CSMT,19:15,19:45,3:50,4:50,0:0,'17:45
Sa,11019,CSMT,13:30,14:0,PUNE,17:50,18:20,3:50,4:50,0:0,'8:5
Su,12116,PUNE,2:25,2:55,CSMT,6:35,7:5,3:40,4:40,3:35,'17:00
Duty 107 -
M,22538,LTT,0:5,0:35,IGP,3:15,3:45,2:40,3:40,3:40,'14:35
M,22512,IGP,18:20,18:50,LTT,21:30,22:0,2:40,3:40,0:0,'19:45
Tu,12109,CSMT,17:45,18:15,IGP,20:50,21:20,2:35,3:35,0:0,'9:35
W,17611,IGP,6:55,7:25,CSMT,10:7,10:37,2:42,3:42,0:0,'18:53
Th,12165,LTT,5:30,6:0,IGP,8:25,8:55,2:25,3:25,0:30,'12:20
Th,22537,IGP,21:15,21:45,LTT,0:10,0:40,2:25,3:25,2:40,'16:15
F,12293,LTT,16:55,17:25,IGP,19:35,20:5,2:10,3:10,0:0,'10:50
Sa,17611,IGP,6:55,7:25,CSMT,10:7,10:37,2:42,3:42,0:0,'18:3
Su,12051,CSMT,4:40,5:10,RN,10:30,11:0,5:20,6:20,1:20,'20:50
Duty 108 -
M,20909,RN,7:50,8:20,BSR,15:10,17:25,6:50,9:35,0:0,'41:35
W,11061,LTT,11:0,11:30,IGP,14:10,14:40,2:40,3:40,0:0,'11:5
Th,20104,IGP,1:45,2:15,LTT,4:35,5:5,2:20,3:20,3:20,'16:15
Th,12701,CSMT,21:20,21:50,PUNE,1:30,2:0,3:40,4:40,4:0,'13:20
F,11030,PUNE,15:20,15:50,CSMT,20:5,20:35,4:15,5:15,0:0,'16:35
Sa,22121,LTT,13:10,13:40,IGP,16:10,16:40,2:30,3:30,0:0,'10:25
Su,12112,IGP,3:5,3:35,CSMT,6:15,6:45,2:40,3:40,2:55,'16:15
Su,11057,CSMT,23:0,23:30,IGP,2:15,2:45,2:45,3:45,3:45,'10:30
Duty 109 -
