Day,Train No.,Org stn,Sign on,Dept time,Dest stn,Arr time,Sign off,Travel time,Duty time,NDH,Rest time
M,13202,LTT,14:25,14:55,IGP,17:25,17:55,2:30,3:30,0:00,'13:20
Tu,13201,IGP,7:15,7:45,LTT,10:50,11:20,3:05,4:05,0:00,'27:5
W,13202,LTT,14:25,14:55,IGP,17:25,17:55,2:30,3:30,0:00,'13:20
Th,13201,IGP,7:15,7:45,LTT,10:50,11:20,3:05,4:05,0:00,'24:5
F,16345(P),LTT,11:25,11:40,RN,17:15,17:30,5:35,6:05,0:00,'29:20
Sa,20112,RN,22:50,23:20,CSMT,5:40,6:10,6:20,7:20,7:10,'16:15
Su,22157,CSMT,22:25,22:55,PUNE,2:55,3:25,4:00,5:00,5:00,'24:20
Duty 17 -,,,,,,,,,,,
Tu,22108,PUNE,3:45,4:15,CSMT,7:55,8:25,3:40,4:40,2:15,'23:45
W,12534(P),CSMT,8:10,8:25,IGP,11:00,11:15,2:35,3:05,0:00,'7:35
W,17618,IGP,18:50,19:20,CSMT,21:55,22:25,2:35,3:35,0:25,'17:5
Th,22221,CSMT,15:30,16:00,JL,20:58,21:28,4:58,5:58,0:00,'7:57
F,22222,JL,5:25,5:55,CSMT,11:15,11:45,5:20,6:20,0:35,'33:5
Sa,11139,CSMT,20:50,21:20,PUNE,1:10,1:40,3:50,4:50,3:40,'23:50
Duty 18 -,,,,,,,,,,,
M,22158,PUNE,1:30,2:00,CSMT,5:50,6:20,3:50,4:50,4:30,'35:55
Tu,12163,LTT,18:15,18:45,PUNE,22:10,22:40,3:25,4:25,0:40,'8:20
W,12124(P),PUNE,7:00,7:15,CSMT,10:25,10:40,3:10,3:40,0:00,'27:45
Th,13202,LTT,14:25,14:55,IGP,17:25,17:55,2:30,3:30,0:00,'13:20
F,13201,IGP,7:15,7:45,LTT,10:50,11:20,3:05,4:05,0:00,'24:5
Sa,16345(P),LTT,11:25,11:40,RN,17:15,17:30,5:35,6:05,0:00,'29:20
Su,20112,RN,22:50,23:20,CSMT,5:40,6:10,6:20,7:20,7:10,'16:15
Duty 19 -,,,,,,,,,,,
M,22157,CSMT,22:25,22:55,PUNE,2:55,3:25,4:00,5:00,5:00,'24:20
W,22108,PUNE,3:45,4:15,CSMT,7:55,8:25,3:40,4:40,2:15,'23:45
Th,12534(P),CSMT,8:10,8:25,IGP,11:00,11:15,2:35,3:05,0:00,'7:35
Th,17618,IGP,18:50,19:20,CSMT,21:55,22:25,2:35,3:35,0:25,'17:5
F,22221,CSMT,15:30,16:00,JL,20:58,21:28,4:58,5:58,0:00,'7:57
Sa,22222,JL,5:25,5:55,CSMT,11:15,11:45,5:20,6:20,0:35,'33:45
Su,18029,LTT,21:30,22:00,IGP,0:40,1:10,2:40,3:40,3:10,'16:45
Duty 20 -,,,,,,,,,,,
M,12860,IGP,17:55,18:25,CSMT,21:20,21:50,2:55,3:55,0:00,'16:35
Tu,13202,LTT,14:25,14:55,IGP,17:25,17:55,2:30,3:30,0:00,'13:20
W,13201,IGP,7:15,7:45,LTT,10:50,11:20,3:05,4:05,0:00,'24:5
Th,16345(P),LTT,11:25,11:40,RN,17:15,17:30,5:35,6:05,0:00,'29:20
F,20112,RN,22:50,23:20,CSMT,5:40,6:10,6:20,7:20,7:10,'29:15
Su,16345(P),LTT,11:25,11:40,RN,17:15,17:30,5:35,6:05,0:00,'29:20
Duty 21 -,,,,,,,,,,,
M,20112,RN,22:50,23:20,CSMT,5:40,6:10,6:20,7:20,7:10,'29:15
W,16345(P),LTT,11:25,11:40,RN,17:15,17:30,5:35,6:05,0:00,'29:20
Th,20112,RN,22:50,23:20,CSMT,5:40,6:10,6:20,7:20,7:10,'16:15
F,22157,CSMT,22:25,22:55,PUNE,2:55,3:25,4:00,5:00,5:00,'24:20
Su,22144,PUNE,3:45,4:15,CSMT,7:55,8:25,3:40,4:40,2:15,'27:00
Duty 22 -,,,,,,,,,,,
M,16345(P),LTT,11:25,11:40,RN,17:15,17:30,5:35,6:05,0:00,'29:20
Tu,20112,RN,22:50,23:20,CSMT,5:40,6:10,6:20,7:20,7:10,'33:45
Th,12125,CSMT,15:55,16:25,PUNE,19:50,20:20,3:25,4:25,0:00,'9:15
F,11010,PUNE,5:35,6:05,CSMT,9:55,10:25,3:50,4:50,0:25,'31:50
Sa,12163,LTT,18:15,18:45,PUNE,22:10,22:40,3:25,4:25,0:40,'8:20
